Дата	N	Курс 100 EUR/UAH
2017-03-02	289	2862.9367
2017-03-03	290	2848.381
2017-03-06	291	2865.1487
2017-03-07	292	2862.0982
2017-03-09	293	2851.2332
2017-03-10	294	2839.1298
2017-03-13	295	2843.4846
2017-03-14	296	2867.7678
2017-03-15	297	2860.1957
2017-03-16	298	2855.2752
2017-03-17	299	2893.7676
2017-03-20	300	2889.2477
2017-03-21	301	2890.9832
2017-03-22	302	2900.4515
2017-03-23	303	2909.234
2017-03-24	304	2918.4423
2017-03-27	305	2930.8086
2017-03-28	306	2956.7497
2017-03-29	307	2945.033
2017-03-30	308	2906.2707
2017-03-31	309	2896.4193
2017-04-03	310	2888.8948
2017-04-04	311	2881.0968
2017-04-05	312	2888.4397
2017-04-06	313	2899.8254
2017-04-07	314	2890.5208
2017-04-10	315	2867.3357
2017-04-11	316	2848.9982
2017-04-12	317	2855.0442
2017-04-13	318	2850.1649
2017-04-14	319	2855.6654
2017-04-18	320	2850.1218
2017-04-19	321	2867.5785
2017-04-20	322	2872.9145
2017-04-21	323	2875.0111
2017-04-24	324	2859.8728
2017-04-25	325	2893.5627
2017-04-26	326	2900.4728
2017-04-27	327	2896.3263
2017-04-28	328	2889.0636
2017-05-03	329	2903.1096
2017-05-04	330	2896.0928
2017-05-05	331	2894.101
2017-05-10	332	2905.6889
2017-05-11	333	2878.9266
2017-05-12	334	2870.1818
2017-05-13	335	2879.3462
2017-05-15	336	2879.3462
2017-05-16	337	2904.502
2017-05-17	338	2923.2698
2017-05-18	339	2936.8275
2017-05-19	340	2937.3262
2017-05-22	341	2947.8642
2017-05-23	342	2961.6217
2017-05-24	343	2950.0505
2017-05-25	344	2939.9666
2017-05-26	345	2946.6658
2017-05-29	346	2949.6274
2017-05-30	347	2952.2658
2017-05-31	348	2944.3959
2017-06-01	349	2952.2827
2017-06-02	350	2947.3382
2017-06-06	351	2947.9328
2017-06-07	352	2954.8404
2017-06-08	353	2939.4613
2017-06-09	354	2936.2952
2017-06-12	355	2919.7031
2017-06-13	356	2925.3935
2017-06-14	357	2915.8829
2017-06-15	358	2914.4572
2017-06-16	359	2903.9545
2017-06-19	360	2905.8656
2017-06-20	361	2914.3299
2017-06-21	362	2904.4512
2017-06-22	363	2900.8509
2017-06-23	364	2906.8099
2017-06-26	365	2908.4561
2017-06-27	366	2912.7151
2017-06-29	367	2941.3159
2017-06-30	368	2978.6782
2017-07-03	369	2969.7866
2017-07-04	370	2955.3131
2017-07-05	371	2953.7514
2017-07-06	372	2959.0574
2017-07-07	373	2966.9661
2017-07-10	374	2969.741
2017-07-11	375	2961.0954
2017-07-12	376	2962.1079
2017-07-13	377	2966.513
2017-07-14	378	2964.8392
2017-07-17	379	2969.9155
2017-07-18	380	2976.0874
2017-07-19	381	2996.2296
2017-07-20	382	2992.1364
2017-07-21	383	2977.869
2017-07-24	384	3014.0825
2017-07-25	385	3007.8194
2017-07-26	386	3022.1647
2017-07-27	387	3014.0331
2017-07-28	388	3028.7969
2017-07-31	389	3039.6394
2017-08-01	390	3031.9911
2017-08-02	391	3054.2375
2017-08-03	392	3064.2055
2017-08-04	393	3070.0502
2017-08-07	394	3067.0345
